"TIME","age","BDW_M","TotalVolume_M","Hct_M","CardOut_M","TotalBloodFlow_M","QUr_M","GFR_M","PTC_kidneyTissue_M","SA_hands_M","V_skin_M","Q_skin_M","SA_skin_M","V_skinBarrier_M","V_skinPlasma_M","V_skinTissue_M","V_kidney_M","Q_kidney_M","V_kidneyPlasma_M","V_kidneyTissue_M","V_filtrate_M","V_gut_M","Q_gut_M","V_liver_M","Q_liver_M","Q_hepatic_M","V_plasma_M","Q_adipose_M","V_adipose_M","V_rest_M","Q_rest_M","AbsPFOA","kAbl","kAap","fup","PL","PF","PK","PSk","PR","PG","CLdermalabs_M","CL_PltPT_M","CL_FiltPT_M","CL_FiltPT_Prot_M","CLbiliary_M","CLfecal_M"
0,0,4.04647911968614,3.70196189003704,0.4841749549,445.6728389664,445.6728389664,0.0890225406330951,18.1750849308799,0.00215951931152333,114.901283752116,0.18707277618221,15.0037560879012,2298.02567504231,0.00954829667980081,0.0149658220945768,0.172106954087633,0.0310364948479927,100.972694060444,0.0111731381452774,0.0198633567027153,0.00155182474239964,0.0523209750175418,37.5175768016835,0.165500995995163,30.3627784288374,67.8803552305209,0.160928923656881,26.1997741732051,1.60604309794358,1.49905862639367,235.616259414329,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.010534149694394,29.1040657428549,9.15850228938008,510.567720686595,0.00301306861465409,5.20727388788652e-05
1,0.00273972602739726,4.05701181971732,3.71296908444794,0.480144674541839,450.794133403803,450.794133403803,0.089254260033781,18.3744399596269,0.0021645877103819,115.100384511394,0.187490854086134,15.1666287847978,2302.00769022789,0.00956484195289687,0.0149992683268907,0.172491585759243,0.0311093376024993,102.080221997927,0.0111993615368997,0.0199099760655996,0.00155546688012497,0.0524721912656541,37.9496450563183,0.165892541056306,30.696391402453,68.6460364587713,0.162450718242687,26.4881361157188,1.60987249759493,1.50368094459973,238.413110046588,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0105524032520046,29.1723730799571,9.17999732408618,511.766024790171,0.00301385197805364,5.20728742446141e-05
2,0.00547945205479452,4.06754301609922,3.72395166495533,0.47620476942913,455.861590577122,455.861590577122,0.0894859463541828,18.5714463988989,0.00216965275013554,115.299284314026,0.187908538031863,15.3275259061507,2305.98568628053,0.00958137052649559,0.015032683042549,0.172875854989314,0.0311821320801313,103.174702216105,0.0112255675488473,0.019956564531284,0.00155910660400657,0.0526234610517876,38.3773074207903,0.166283844379138,31.0260934540014,69.4034008747917,0.163947439252899,26.7731937830654,1.61370330193751,1.508302948222,241.182767797009,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0105706383859099,29.2406351460537,9.20147811285801,512.963534712125,0.00301463340177351,5.20730092404863e-05
3,0.00821917808219178,4.07807270915892,3.73491010940242,0.472353212982017,460.876112762223,460.876112762223,0.0897175996014962,18.7661457790843,0.00217471443382433,115.497983835553,0.188325828361826,15.486482364126,2309.95967671106,0.00959788245673444,0.0150660662689461,0.17325976209288,0.0312548783245808,104.256365439357,0.0112517561968491,0.0200031221277317,0.00156274391622904,0.0527747843243123,38.8006419208162,0.166674906189039,31.3519537523556,70.1525956731718,0.165419564786092,27.0550080711392,1.61753550905846,1.51292463835811,243.925661214429,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0105888551580435,29.3088519821162,9.22294466858851,514.160251171216,0.00301541289559942,5.20731438684473e-05
4,0.010958904109589,4.08860089922364,3.74584488636812,0.468588024064791,465.838588556033,465.838588556033,0.0899492197829201,18.9585789382456,0.0021797727644859,115.69648374739,0.188742725418303,15.6435324846134,2313.9296749478,0.00961437779940812,0.0150994180334642,0.173643307384839,0.0313275763795042,105.325438545809,0.0112779274966215,0.0200496488828827,0.00156637881897521,0.0529261610316162,39.2197253344903,0.167065726711191,31.674040314771,70.8937656492613,0.166867563675516,27.3336388278663,1.62136911705305,1.51754601609894,246.642213048483,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0106070536299607,29.3770236290832,9.24439700416024,515.356174885617,0.00301619046924191,5.20732781304474e-05
5,0.0136986301369863,4.09912758662063,3.75675645533883,0.464907265966845,470.749893034146,470.749893034146,0.0901808069056538,19.1487860321006,0.00218482774515524,115.894784716864,0.189159229543417,15.7987100157686,2317.89569433727,0.00963085660997136,0.0151327383634734,0.174026491179944,0.0314002262885202,106.382144622781,0.0113040814638673,0.0200961448246529,0.00157001131442601,0.0530775911221038,39.6346332091036,0.167456306170575,31.9924200234541,71.6270532325577,0.168291895660967,27.609144869481,1.62520412402459,1.52216708252866,249.332840293558,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0106252338628421,29.4451501278573,9.26583513244457,516.551306572879,0.00301696613233717,5.20734120284212e-05
6,0.0164383561643836,4.10965277167728,3.7676452668774,0.461309045406487,475.610887908276,475.610887908276,0.0904123609769002,19.3368065439065,0.00218987937886484,116.092887407245,0.189575341079142,15.9520481364751,2321.85774814491,0.0096473189435421,0.0151660272863314,0.174409313792811,0.0314728280952119,107.426703021703,0.0113302181142763,0.0201426099809356,0.0015736414047606,0.0532290745441974,40.0454398778348,0.16784664479198,32.3071586419771,72.3525985198119,0.169693011557703,27.8815839966055,1.62904052808443,1.52678783872474,251.997954233681,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0106433959174962,29.513231519308,9.28725906630226,517.745646949969,0.00301773989444775,5.20735455642883e-05
7,0.0191780821917808,4.1201764547211,3.77851176278915,0.457791511557087,480.422421683508,480.422421683508,0.0906438820038642,19.5226792942525,0.00219492766864468,116.29079247779,0.189991060367302,16.1035794647212,2325.8158495558,0.00966376485490436,0.0151992848293842,0.174791775537918,0.0315453818431256,108.459329412514,0.0113563374635252,0.0201890443796004,0.00157726909215628,0.0533806112463367,40.4522184763124,0.168236742799996,32.6183208315365,73.0705393078489,0.171071353422424,28.1510130101333,1.6328783273519,1.53140828575807,254.637960488291,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0106615398543638,29.5812678442704,9.30866881858343,518.939196733248,0.00301851176506337,5.20736787399528e-05
8,0.0219178082191781,4.13069863607967,3.78935637628485,0.454352855095059,485.185329815258,485.185329815258,0.0908753699937527,19.7064424507547,0.00219997261752215,116.488500583768,0.190406387749568,16.2533360658947,2329.77001167537,0.00968019439851115,0.0152325110199654,0.175173876729603,0.0316178875757711,109.480235837526,0.0113824395272776,0.0202354480484935,0.00158089437878856,0.0535322011769782,40.8550409590428,0.168626600419015,32.9259701670531,73.7810111260959,0.172427354716365,28.4174877269154,1.6367175199542,1.53602842469295,257.253259058826,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0106796657335199,29.6492591435451,9.33006440212721,520.131956638477,0.00301928175360163,5.2073811557304e-05
9,0.0246575342465753,4.14121931608065,3.80017953214104,0.450991307269196,489.900434865903,489.900434865903,0.0911068249537743,19.888133537657,0.00220501422852213,116.686012376501,0.190821323567458,16.4013494609924,2333.72024753003,0.00969660762848726,0.0152657058853966,0.175555617682061,0.0316903453366216,110.489630764761,0.0114085243211838,0.0202818210154378,0.00158451726683108,0.0536838442845959,41.2539781157046,0.169016217873234,33.2301691531153,74.4841472688199,0.173761440465556,28.6810629952529,1.64055810402642,1.54064825658715,259.844244376077,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0106977736146776,29.7172054578986,9.3514458297621,521.323927380814,0.00302004986940876,5.20739440182165e-05
10,0.0273972602739726,4.15173849505183,3.8109816468575,0.447705138990874,494.568546660966,494.568546660966,0.0913382468911402,20.0677894453339,0.00221005250466697,116.883328503397,0.19123586816234,16.5476506347446,2337.66657006793,0.00971300459863226,0.0152988694529872,0.175936998709353,0.0317627551691143,111.487719140744,0.0114345918608811,0.0203281633082332,0.00158813775845572,0.0538355405176812,41.6490995873039,0.169405595386651,33.5309792397604,75.1800788270643,0.175074027418282,28.9417927101929,1.64440007771145,1.54526778249198,262.41130534822,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0107158635571914,29.7851068280636,9.37281311430585,522.515109674825,0.00302081612176032,5.20740761245501e-05
11,0.0301369863013699,4.16225617332111,3.82176312881194,0.444492659944656,499.190462444858,499.190462444858,0.0915696358130644,20.2454464396964,0.00221508744897649,117.080449607982,0.191650021875431,16.6922700436546,2341.60899215963,0.00972938536242326,0.0153320017500345,0.176318020125397,0.0318351171166498,112.474702442758,0.0114606421619939,0.0203744749546559,0.00159175585583249,0.0539872898247431,42.0404738821914,0.169794733183072,33.8284608380955,75.8689347202869,0.176365524199799,29.1997298286321,1.64824343915995,1.54988700345229,264.954825409526,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0107339356200598,29.8529632947383,9.3941662685655,523.705504234475,0.00302158051986195,5.20742078781501e-05
12,0.0328767123287671,4.17277235121645,3.83252437841195,0.441352217718835,503.766967036066,503.766967036066,0.0918009917267619,20.4211401714988,0.00222011906446798,117.277376329935,0.192063785047797,16.8352376239521,2345.5475265987,0.0097457499730176,0.0153651028038238,0.176698682243973,0.0319074312225924,113.450778730549,0.0114866752401333,0.0204207559824591,0.00159537156112962,0.0541390921543071,42.4281683919364,0.170183631486103,34.1226733357555,76.5508417276919,0.177636331464323,29.4549263842247,1.65208818653024,1.55450592050659,267.475182569648,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0107519898619284,29.9207748985872,9.41550530533734,524.89511177313,0.00302234307285008,5.20743392808474e-05
13,0.0356164383561644,4.18328702906592,3.84326578824437,0.438282196955485,508.298832981754,508.298832981754,0.0920323146394502,20.5949056855484,0.00222514735415619,117.474109305123,0.192477158020349,16.9765827994604,2349.48218610246,0.0097620984832557,0.0153981726416279,0.177078985378721,0.03197969753027,114.416142697491,0.0115126911108972,0.0204670064193728,0.0015989848765135,0.0542909474549164,42.8122494070596,0.170572290519155,34.4136751121988,77.2259245192584,0.178886842044371,29.7074335021001,1.65593431798834,1.55912453468697,269.972749463444,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0107700263410937,29.9885416802404,9.4368302374069,526.083933003559,0.00302310378979258,5.20744703344589e-05
14,0.0383561643835616,4.19380020719773,3.85398774322203,0.43528101851956,512.786820711736,512.786820711736,0.09226360455835,20.7667774298151,0.00223017232105336,117.670649165629,0.192890141133851,17.1163344893773,2353.41298331259,0.0097784309456638,0.0154312112907081,0.177458929843143,0.0320519160829744,115.370985721195,0.0115386897898708,0.0205132262931036,0.00160259580414872,0.0544428556751317,43.192782132619,0.170960710505445,34.7015235538387,77.8943056864577,0.180117441097467,29.9573014133876,1.65978183170785,1.56374284701931,272.447893401318,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0107880451155049,30.0562636802941,9.45814107754906,527.271968637935,0.00302386267968951,5.20746010407872e-05
15,0.0410958904109589,4.20431188594011,3.86469062072777,0.432347138686633,517.231678691738,517.231678691738,0.0924948614906824,20.9367892644415,0.00223519396816921,117.866996539789,0.193302734728914,17.2545211159687,2357.33993079578,0.00979474741245648,0.0154642187783131,0.177838515950601,0.032124086923961,116.315495913564,0.011564671292626,0.020559415631335,0.00160620434619805,0.0545948167635307,43.5698307036505,0.171348891667991,34.9862750690107,78.5561057726612,0.181328506250259,30.204579469551,1.66363072586994,1.56836085852317,274.900976419993,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0108060462427679,30.1239409393106,9.47943783852803,528.459219387836,0.00302461975147375,5.20747314016211e-05
16,0.0438356164383562,4.21482206562149,3.87537479075611,0.429479048348844,521.634143575935,521.634143575935,0.0927260854436728,21.1049744706549,0.00224021229851094,118.063152052221,0.193714939145998,17.3911706121762,2361.26304104443,0.0098110479355396,0.0154971951316798,0.178217744014318,0.0321962100964492,117.249858170305,0.0115906356347217,0.0206055744617275,0.00160981050482246,0.0547468306687085,43.9434582004605,0.171736834229619,35.2679851027743,79.2114433032348,0.182520407740103,30.449316156533,1.66748099866326,1.57297857021197,277.332355333686,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0108240297801476,30.1915734978183,9.5007205330973,529.645685964243,0.00302537501401173,5.20748614187356e-05
17,0.0465753424657534,4.22533074657031,3.88604061605225,0.426675272238659,525.994940358704,525.994940358704,0.0929572764245468,21.2713657595773,0.0022452273150832,118.259116323858,0.19412675472541,17.5263104291372,2365.18232647716,0.00982733256651261,0.0155301403780328,0.178596614347377,0.0322682856436218,118.174254219874,0.0116165828317038,0.020651702811918,0.00161341428218109,0.0548988973392774,44.3137266637698,0.172124538412957,35.5467081515505,79.8604348153203,0.183693508554137,30.6915591087125,1.67133264828394,1.57759598309291,279.74238178566,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0108419957845713,30.2591613963111,9.52198917399958,530.831369077539,0.00302612847610402,5.2074991093892e-05
18,0.0493150684931507,4.23583792911518,3.89668845224875,0.423934368170027,530.314782525535,530.314782525535,0.093188434440534,21.4359952809375,0.0022502390208882,118.454889971979,0.194538181807311,17.6599675436178,2369.09779943958,0.00984360135667144,0.0155630545445849,0.178975127262726,0.032340313608626,119.088862671875,0.0116425128991054,0.0206978007095206,0.0016170156804313,0.0550510167238674,44.6806971097071,0.172512004440441,35.822497777593,80.5031948873001,0.184848164565891,30.9313551226731,1.6751856729355,1.58221309816711,282.131402300069,0.016,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.010859944312631,30.3267046752502,9.5432437739672,532.016269437519,0.00302688014648605,5.20751204288384e-05
