"TIME","age","BDW_F","TotalVolume_F","Hct_F","CardOut_F","TotalBloodFlow_F","QUr_F","GFR_F","PTC_kidneyTissue_F","SA_hands_F","V_skin_F","Q_skin_F","SA_skin_F","V_skinBarrier_F","V_skinPlasma_F","V_skinTissue_F","V_kidney_F","Q_kidney_F","V_kidneyPlasma_F","V_kidneyTissue_F","V_filtrate_F","V_gut_F","Q_gut_F","V_liver_F","Q_liver_F","Q_hepatic_F","V_plasma_F","Q_adipose_F","V_adipose_F","V_rest_F","Q_rest_F","AbsPFOA","fBAc_dust","fBAc_cosm","kAbl","kAap","fup","PL","PF","PK","PSk","PR","PG","CLdermalabs_F","CL_PltPT_F","CL_FiltPT_F","CLbiliary_F","CLfecal_F"
0,0,3.90165826830329,3.59128242129316,0.4840149769,445.8110599584,445.8110599584,0.0858364819026724,14.5984491516283,0.00192748941439065,112.145895408523,0.177935125325971,18.2338976565723,2242.91790817047,0.0093193239084483,0.0142348100260777,0.163700315299893,0.0277017737049533,81.1024952868241,0.00997263853378319,0.0177291351711701,0.00138508868524767,0.0507215574879427,40.2534366697733,0.148263014195525,31.8300032451842,72.0834399149575,0.155217506563976,29.8928663030852,1.57111306047097,1.46033038354382,244.498360796961,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0102815356910534,56.6617999192208,455.709690439757,0.00300210732503448,5.20708410969598e-05
1,0.00273972602739726,3.91252983396092,3.60255533046723,0.480107553101579,450.613105954666,450.613105954666,0.0860756563471402,14.746695992852,0.00193244820827225,112.353912294272,0.178375038237819,18.4172188037239,2247.07824588545,0.00933661011165404,0.0142700030590255,0.164105035178793,0.0277730412226538,81.9260888491775,0.00999829484015537,0.0177747463824984,0.00138865206113269,0.0508766063149671,40.6818470105069,0.148656912982362,32.1559327678793,72.8377797783862,0.156676562920848,30.1927003501704,1.57496059292558,1.465236575863,247.239318173208,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0103006066791389,56.8075720229025,456.88208101574,0.00300294278404038,5.20709859853892e-05
2,0.00547945205479452,3.92339943281342,3.61380712489778,0.476281690395695,455.365287801679,455.365287801679,0.0863147875218952,14.8931932167867,0.00193740399161661,112.56169863439,0.178814574628118,18.5983172671943,2251.23397268781,0.00935387715651784,0.0143051659702494,0.164509408657869,0.0278442654730758,82.7399623154815,0.0100239355703073,0.0178203299027685,0.00139221327365379,0.051031701427213,41.1058228015773,0.149050636675771,32.4780994328511,73.5839222344284,0.158114327766256,30.4889836806163,1.57881016236136,1.47014145656599,249.954102303959,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0103196565308009,56.9532556267681,458.053759820762,0.00300377600576687,5.20711304460801e-05
3,0.00821917808219178,3.93426706528351,3.62503816596911,0.472535686327698,460.068411151464,460.068411151464,0.0865538754362372,15.0379715856241,0.00194235676717981,112.769255254036,0.17925373479342,18.7772320945445,2255.38510508072,0.0093711251116104,0.0143402987834736,0.164913436009946,0.0279154464958294,83.5442865868003,0.0100495607384986,0.0178658857573308,0.00139577232479147,0.0511868427731755,41.5254419836128,0.149444185372162,32.7965693225726,74.3220113061854,0.159531162798535,30.7817827551536,1.58266176649747,1.47504502723852,252.64309840878,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.01033868532169,57.098850811837,459.224727506431,0.00300460700234207,5.20712744814757e-05
4,0.010958904109589,3.945132731794,3.63624880885526,0.4688678739789,464.723269588419,464.723269588419,0.086792920099468,15.1810613352912,0.0019473065377154,112.976582972959,0.179692519030143,18.9540016614434,2259.53165945919,0.00938835404505293,0.0143754015224114,0.165317117507732,0.0279865843304887,84.3392296405066,0.0100751703589759,0.0179114139715128,0.00139932921652444,0.0513420303013693,41.9407812072599,0.149837559167899,33.1114073952897,75.0521886025496,0.160927423504653,31.0711628297783,1.58651540306239,1.47994728945832,255.306686854141,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0103576931269609,57.244357659055,460.394984723764,0.00300543578579401,5.20714180939987e-05
5,0.0136986301369863,3.95599643276768,3.64743940261878,0.465276621224817,469.330644780893,469.330644780893,0.087031921520889,15.3224921840866,0.00195225330597446,113.18368260555,0.180130927634564,19.1286636827616,2263.673652111,0.0094055640245212,0.0144104742107651,0.165720453423799,0.0280576790165918,85.1249565782589,0.010100764445973,0.0179569145706188,0.00140288395082959,0.0514972639603283,42.3519158535468,0.150230758159293,33.4226775033447,75.7745933568915,0.162303459259051,31.3571879775692,1.59037106979378,1.48484824479517,257.945243185412,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0103766800212768,57.3897762492939,461.564532123184,0.0030062623680517,5.20715612860509e-05
6,0.0164383561643836,3.96685816862745,3.65861029030832,0.461760330008902,473.891306631728,473.891306631728,0.0872708797098039,15.4622933411823,0.00195719707470557,113.39055496089,0.180568960902829,19.3012552234922,2267.81109921781,0.00942275511724998,0.0144455168722263,0.166123444030603,0.0281287305936414,85.901629673235,0.0101263430137109,0.0180023875799305,0.00140643652968207,0.0516525436986065,42.7589200539463,0.150623782442609,33.7304424112186,76.4893624651649,0.163659613421136,31.6399211101051,1.59422876443851,1.48974789481099,260.559138159731,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0103956460788144,57.5351066633537,462.733370354534,0.00300708676094628,5.20717040600137e-05
7,0.0191780821917808,3.97771793979616,3.66976180905464,0.458317435631426,478.406013427727,478.406013427727,0.0875097946755155,15.6004935149929,0.00196213784665482,113.597200842802,0.181006619130947,19.4718127095002,2271.94401685604,0.00943992739003686,0.0144805295304758,0.166526089600471,0.028199739101104,86.6694084166272,0.0101519060763974,0.0180478330247066,0.0014099869550552,0.0518078694647768,43.1618667101384,0.151016632114061,34.0347638132933,77.1966305234317,0.164996223431414,31.9194239984871,1.59808848475252,1.49464624105982,263.148737779681,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0104145913732681,57.6803489819597,463.901500067057,0.00300790897621206,5.20718464182485e-05
8,0.0219178082191781,3.98857574669679,3.68089429016552,0.454946406053216,482.87551198804,482.87551198804,0.0877486664273294,15.7371209214151,0.00196707562456582,113.8036210499,0.18144390261479,19.6403719381035,2276.072420998,0.00945708090924668,0.0145155122091832,0.166928390405607,0.0282707045784108,87.4284495634172,0.0101774536482279,0.0180932509301829,0.00141353522892054,0.0519632412074324,43.5608275134813,0.151409307269814,34.3357023513408,77.8965298648221,0.166313620906311,32.1957572939769,1.60195022850082,1.49954328508794,265.71440332772,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0104335159778548,57.8255032857656,465.068921909422,0.00300872902548758,5.20719883630968e-05
9,0.0246575342465753,3.9994315897523,3.6920080592192,0.451645741213913,487.300537811423,487.300537811423,0.0879874949745506,15.8722032919379,0.0019720104111797,114.009816375635,0.181880811650095,19.8069680884873,2280.1963275127,0.00947421574081528,0.0145504649320076,0.167330346718087,0.0283416270649569,88.1789071774325,0.0102029857433845,0.0181386413215724,0.00141708135324784,0.0521186588751856,43.9558729641901,0.151801808005985,34.6333176317401,78.5891905959302,0.167612131731657,32.4689805482544,1.60581399345738,1.50443902843394,268.256491401319,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0104524199653182,57.9705696553508,466.235636529697,0.00300954692031667,5.207212989688e-05
