Time.days,MPFOA,Matrix,Unit,Comment
0.010416667,0.1463461,Serum,ng.ml,Concentration
0.020833333,0.238881808,Serum,ng.ml,Concentration
0.03125,0.510170402,Serum,ng.ml,Concentration
0.041666667,0.691271323,Serum,ng.ml,Concentration
0.052083333,0.737951242,Serum,ng.ml,Concentration
0.0625,0.778950579,Serum,ng.ml,Concentration
0.072916667,0.874441173,Serum,ng.ml,Concentration
0.083333333,0.902682744,Serum,ng.ml,Concentration
0.09375,0.914306622,Serum,ng.ml,Concentration
0.104166667,0.816930423,Serum,ng.ml,Concentration
0.114583333,0.849727795,Serum,ng.ml,Concentration
0.125,0.813838107,Serum,ng.ml,Concentration
0.145833333,0.711338169,Serum,ng.ml,Concentration
0.166666667,0.756360423,Serum,ng.ml,Concentration
0.1875,0.683742895,Serum,ng.ml,Concentration
0.208333333,0.699480091,Serum,ng.ml,Concentration
0.229166667,0.667393995,Serum,ng.ml,Concentration
0.25,0.652743141,Serum,ng.ml,Concentration
0.270833333,0.621228486,Serum,ng.ml,Concentration
0.291666667,0.608471702,Serum,ng.ml,Concentration
0.3125,0.6779154,Serum,ng.ml,Concentration
0.333333333,0.662282925,Serum,ng.ml,Concentration
0.375,0.62426356,Serum,ng.ml,Concentration
0.416666667,0.625374345,Serum,ng.ml,Concentration
0.458333333,0.609031819,Serum,ng.ml,Concentration
0.5,0.627318131,Serum,ng.ml,Concentration
0.625,0.573884741,Serum,ng.ml,Concentration
0.75,0.55037224,Serum,ng.ml,Concentration
0.875,0.557269637,Serum,ng.ml,Concentration
1,0.616755742,Serum,ng.ml,Concentration
1.125,0.560595244,Serum,ng.ml,Concentration
1.25,0.579001876,Serum,ng.ml,Concentration
1.375,0.564516361,Serum,ng.ml,Concentration
1.5,0.53486608,Serum,ng.ml,Concentration
1.75,0.505740511,Serum,ng.ml,Concentration
2,0.523205109,Serum,ng.ml,Concentration
2.25,0.532271698,Serum,ng.ml,Concentration
2.5,0.569898035,Serum,ng.ml,Concentration
2.75,0.478436937,Serum,ng.ml,Concentration
3,0.59005102,Serum,ng.ml,Concentration
3.25,0.617713667,Serum,ng.ml,Concentration
3.5,0.543908414,Serum,ng.ml,Concentration
3.75,0.475423738,Serum,ng.ml,Concentration
4,0.536107158,Serum,ng.ml,Concentration
4.25,0.5035741,Serum,ng.ml,Concentration
4.5,0.533770863,Serum,ng.ml,Concentration
5,0.524194077,Serum,ng.ml,Concentration
5.5,0.517686805,Serum,ng.ml,Concentration
6,0.529116355,Serum,ng.ml,Concentration
6.5,0.536714051,Serum,ng.ml,Concentration
7,0.533589018,Serum,ng.ml,Concentration
7.5,0.542315253,Serum,ng.ml,Concentration
8,0.526964031,Serum,ng.ml,Concentration
8.5,0.506038346,Serum,ng.ml,Concentration
9,0.515448834,Serum,ng.ml,Concentration
10,0.493418023,Serum,ng.ml,Concentration
11,0.496265664,Serum,ng.ml,Concentration
12,0.511506073,Serum,ng.ml,Concentration
13,0.493618284,Serum,ng.ml,Concentration
14,0.531269743,Serum,ng.ml,Concentration
16,0.519429761,Serum,ng.ml,Concentration
18,0.523765426,Serum,ng.ml,Concentration
20,0.502984449,Serum,ng.ml,Concentration
22,0.531110754,Serum,ng.ml,Concentration
24,0.521017145,Serum,ng.ml,Concentration
28,0.487179281,Serum,ng.ml,Concentration
32,0.448265583,Serum,ng.ml,Concentration
36,0.51301165,Serum,ng.ml,Concentration
40,0.454121412,Serum,ng.ml,Concentration
44,0.565361725,Serum,ng.ml,Concentration
51,0.486622957,Serum,ng.ml,Concentration
58,0.553272577,Serum,ng.ml,Concentration
65,0.529436752,Serum,ng.ml,Concentration
72,0.522089172,Serum,ng.ml,Concentration
86,0.513675244,Serum,ng.ml,Concentration
100,0.484691208,Serum,ng.ml,Concentration
114,0.521177484,Serum,ng.ml,Concentration
128,0.495508991,Serum,ng.ml,Concentration
142,0.491911571,Serum,ng.ml,Concentration
170,0.560548725,Serum,ng.ml,Concentration
198,0.531200189,Serum,ng.ml,Concentration
226,0.530350416,Serum,ng.ml,Concentration
254,0.476024623,Serum,ng.ml,Concentration
282,0.491042542,Serum,ng.ml,Concentration
310,0.48528816,Serum,ng.ml,Concentration
338,0.463873676,Serum,ng.ml,Concentration
366,0.445813984,Serum,ng.ml,Concentration
394,0.449256984,Serum,ng.ml,Concentration
422,0.473982663,Serum,ng.ml,Concentration
450,0.431058545,Serum,ng.ml,Concentration
0.25,0.000157301,Urine,ng,Amount
0.5,1.66E-04,Urine,ng,Amount
0.75,2.18E-04,Urine,ng,Amount
1,3.69E-04,Urine,ng,Amount
1.25,7.26E-04,Urine,ng,Amount
1.5,8.43E-04,Urine,ng,Amount
1.75,9.21E-04,Urine,ng,Amount
2,9.21E-04,Urine,ng,Amount
2.25,1.17E-03,Urine,ng,Amount
2.5,1.17E-03,Urine,ng,Amount
2.75,1.31E-03,Urine,ng,Amount
3,1.50E-03,Urine,ng,Amount
3.25,1.50E-03,Urine,ng,Amount
3.5,1.50E-03,Urine,ng,Amount
3.75,1.50E-03,Urine,ng,Amount
4,1.61E-03,Urine,ng,Amount
4.25,1.61E-03,Urine,ng,Amount
4.5,1.74E-03,Urine,ng,Amount
5,1.96E-03,Urine,ng,Amount
5.5,1.96E-03,Urine,ng,Amount
6,1.96E-03,Urine,ng,Amount
24,2.01E-03,Urine,ng,Amount
24.5,2.49E-03,Urine,ng,Amount
36,2.79E-03,Urine,ng,Amount
36.5,2.79E-03,Urine,ng,Amount
100,2.79E-03,Urine,ng,Amount
100.5,3.06E-03,Urine,ng,Amount
1,0.000611515,Feces,ng,Amount
2,0.001215402,Feces,ng,Amount
3,0.001685899,Feces,ng,Amount
4,0.0022034,Feces,ng,Amount
5,0.00287147,Feces,ng,Amount
6,0.003286435,Feces,ng,Amount
421,0.003286435,Feces,ng,Amount
421,0.003286435,Feces,ng,Amount
422,0.003286435,Feces,ng,Amount
423,0.003286435,Feces,ng,Amount
424,0.003286435,Feces,ng,Amount
425,0.003286435,Feces,ng,Amount
426,0.003460525,Feces,ng,Amount
