;PFOA_mean;PFOA_sd;PFOA_min;PFOA_P05;PFOA_P50;PFOA_P95;PFOA_max
ShowerGel;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Shampo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Conditioner;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Deodorant;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FacialMoistClean;0.14;0.35;0.00;0.00;0.00;0.95;1.20
Bodylotion;13.15;9.10;5.20;5.23;12.70;21.70;22.00
AntiWrincleCream;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Sunscreen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MouthWash;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Toothpaste;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Perfume;0.00;0.00;0.00;0.00;0.00;0.00;0.00
LipGlossBalm;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Foundation;452.97;936.53;0.00;0.00;2.50;2358.00;2700.00
IntimateSoap;0.00;0.00;0.00;0.00;0.00;0.00;0.00
HandCream;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FootCream;0.00;0.00;0.00;0.00;0.00;0.00;0.00
HairStylingProd;0.00;0.00;0.00;0.00;0.00;0.00;0.00
HairTreatProd;0.00;0.00;0.00;0.00;0.00;0.00;0.00
EyeMakeup;1.50;2.78;0.00;0.00;0.00;6.00;6.00
RougePowder;8.29;17.12;0.00;0.00;0.36;46.84;73.00
MakeupRemov;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ShavingProd;0.20;0.35;0.00;0.00;0.00;0.54;0.60
Antibac;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Oils;0.00;0.00;0.00;0.00;0.00;0.00;0.00
HandSoap;0.00;0.00;0.00;0.00;0.00;0.00;0.00
