;PFOA_mean;PFOA_sd;PFOA_min;PFOA_P05;PFOA_P50;PFOA_P95;PFOA_max
ShowerGel;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Shampo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Conditioner;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Deodorant;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FacialMoistClean;0.90;0.99;0.13;0.25;0.25;2.19;2.19
Bodylotion;13.15;9.10;5.20;5.23;12.70;21.70;22.00
AntiWrincleCream;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Sunscreen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MouthWash;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Toothpaste;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Perfume;0.00;0.00;0.00;0.00;0.00;0.00;0.00
LipGlossBalm;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Foundation;453.55;936.24;0.25;0.25;2.50;2358.00;2700.00
IntimateSoap;0.00;0.00;0.00;0.00;0.00;0.00;0.00
HandCream;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FootCream;0.00;0.00;0.00;0.00;0.00;0.00;0.00
HairStylingProd;0.00;0.00;0.00;0.00;0.00;0.00;0.00
HairTreatProd;0.00;0.00;0.00;0.00;0.00;0.00;0.00
EyeMakeup;1.93;2.60;0.25;0.25;0.25;6.00;6.00
RougePowder;8.97;16.81;0.25;0.25;2.19;46.84;73.00
MakeupRemov;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ShavingProd;0.37;0.20;0.25;0.25;0.25;0.57;0.60
Antibac;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Oils;0.00;0.00;0.00;0.00;0.00;0.00;0.00
HandSoap;0.00;0.00;0.00;0.00;0.00;0.00;0.00
