;N;PFOA_lb_mean;PFOA_lb_SD;PFOA_lb_min;PFOA_lb_P05;PFOA_lb_P50;PFOA_lb_P95;PFOA_lb_max
Beverages;9;1,777777778;3,231786572;0;0;1;7,2;10
BreadGrain;12;7,916666667;16,08759168;0;0;0;39,45;51
ButterOil;4;3;6;0;0;0;10,2;12
EggDairy;7;6,857142857;11,29053544;0;0;0;24,9;30
FruitBerries;27;12,14814815;29,85181827;0;0;3;47,2;149
Meat;9;11,11111111;16,56384953;0;0;8;37,2;52
PotatoVeg;65;13,47692308;26,48059885;0;0;0;77,6;121
SweetsCakes;9;3,666666667;5,678908346;0;0;1;13,6;14
Fish;399;5,737314219;88,8054407;0;0;0;0;2900,000095
CanProcessFish;;57,75000224;120,3370315;0;0;0;300,0000119;300,0000119
FattyFish;;6,308411396;46,23955895;0;0;0;0;400,000006
FishLiver;;6,706258041;132,202408;0;0;0;0;2900,000095
FlatFish;;3,24022357;40,14241196;0;0;0;0;800,0000119
Mussel;;2,770000137;4,797780975;0;0;0;7,479000371;8,310000412
RedFattyFish;;0,114713217;2,297130384;0;0;0;0;46,00000009
Shrimps;;24,52830098;178,5687265;0;0;0;0;1299,999952
WhiteFish;;1,676767699;35,9798724;0;0;0;0;800,0000119
