Product,mean,SD,LB,UB
ShowerGel,11.2,8.2,4.25,26.2
Shampoo,5.9,4.2,2.55,13.9
    Conditioner,5.2,1.5,2.6,7.2
     Deodorant,0.81725,0.6405,0.238,2.3
FacialMoistClean,1.84185,1.24825,0.16375,6.753
BodyLotion,6.7,5.65,2.4,25
MouthWash,17.4,7.6,7.8,30.4
ToothPaste,1.5217,0.7816,0.70775,2.8143
Perfume,0.2543,0.1578,0.11275,0.617
HandCream,1.5607,1.3746,0.695,3.0622
HairStylingProd,2.7133,2.4959,1.4,10.3
ShavingProd,4.933333333,4.733333333,1,16.8
Antibac,1.5607,1.3746,0.695,3.0622
HandSoap,1.75685,1.19555,0.1495,7.261
