sep=,
Time_days;MPFOA_µg_per_L
0.010416667;0.1463461
0.020833333;0.238881808
0.03125;0.510170402
0.041666667;0.691271323
0.052083333;0.737951242
0.0625;0.778950579
0.072916667;0.874441173
0.083333333;0.902682744
0.09375;0.914306622
0.104166667;0.816930423
0.114583333;0.849727795
0.125;0.813838107
0.145833333;0.711338169
0.166666667;0.756360423
0.1875;0.683742895
0.208333333;0.699480091
0.229166667;0.667393995
0.25;0.652743141
0.270833333;0.621228486
0.291666667;0.608471702
0.3125;0.6779154
0.333333333;0.662282925
0.375;0.62426356
0.416666667;0.625374345
0.458333333;0.609031819
0.5;0.627318131
0.625;0.573884741
0.75;0.55037224
0.875;0.557269637
1;0.616755742
1.125;0.560595244
1.25;0.579001876
1.375;0.564516361
1.5;0.53486608
1.75;0.505740511
2;0.523205109
2.25;0.532271698
2.5;0.569898035
2.75;0.478436937
3;0.59005102
3.25;0.617713667
3.5;0.543908414
3.75;0.475423738
4;0.536107158
4.25;0.5035741
4.5;0.533770863
5;0.524194077
5.5;0.517686805
6;0.529116355
6.5;0.536714051
7;0.533589018
7.5;0.542315253
8;0.526964031
8.5;0.506038346
9;0.515448834
10;0.493418023
11;0.496265664
12;0.511506073
13;0.493618284
14;0.531269743
16;0.519429761
18;0.523765426
20;0.502984449
22;0.531110754
24;0.521017145
28;0.487179281
32;0.448265583
36;0.51301165
40;0.454121412
44;0.565361725
51;0.486622957
58;0.553272577
65;0.529436752
72;0.522089172
86;0.513675244
100;0.484691208
114;0.521177484
128;0.495508991
142;0.491911571
170;0.560548725
198;0.531200189
226;0.530350416
254;0.476024623
282;0.491042542
310;0.48528816
338;0.463873676
366;0.445813984
394;0.449256984
422;0.473982663
450;0.431058545
