chemical,parameter,approach,species,value_average,range_value,unit,plasma/serum/ blood,n ,source,doi,comment,comment 2,comment 3
pfoa,kidney_concentration,in vivo,human,0.317,0.173,ng/ml kidney,,19,Nielsen et al,https://doi.org/10.1021/acs.est.3c06499,"From medicolegal autopises, initial value: 0.317 ng/g kidney",,
pfoa,liver_concentration,in vivo,human,0.324,0.159,ng/ml liver,,19,Nielsen et al,https://doi.org/10.1021/acs.est.3c06499,"From medicolegal autopises, initial value: 0.324 ng/g liver",,
pfoa,blood_concentration ,in vivo,human,0.278,0.18,ng/ml,,19,Nielsen et al,https://doi.org/10.1021/acs.est.3c06499,,,
pfhxs,Free fraction / unbound fraction,,,<0.025,,,,,EFSA 2020 (p.64),,,,
pfhxs,Free fraction / unbound fraction,,,0.0002,,,whole blood,,Kim et al. 2018,,"The HSA binding affinities of perfluorohexanesulfonic acid (PFHxS) and perfluoroheptanoic acid (PFHpA) were exceptionally high (Log KA: 4.99 ñ 0.44 and 5.53 ñ 0.39, respectively). These observations are consistent with long blood plasma elimination half-lives reported for PFHxS in humans [54,55] and for PFHpA and PFHxS in pigs [56]. -Li2021",,
pfhxs,Free fraction / unbound fraction,,,0.0009,,,,,Smeltz 2023,,,,
pfhxs,Free fraction / unbound fraction,in vivo,mice,0.0884,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfhxs,Free fraction / unbound fraction,in vivo,?,0.025,,,,,Fragki et al. 2023,https://doi.org/10.1016/j.fct.2022.113559,based on PFOS,,
pfhxs,Free fraction / unbound fraction,in vivo,?,0.005,,,,,"Fabrega et al., 2015",https://doi.org/10.1080/02772248.2015.1060976 ,"also used by Sweeney et al., 2022",,
pfoa,absorbed fraction,in vivo, rats (males),0.93,,,,,"Cui et al., 2010",10.1007/s00244-009-9336-5,24ÿh,Gavage,
pfos,Free fraction / unbound fraction,in vivo,mice,0.043,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfhxs,Free fraction / unbound fraction,in vivo,diary cow,0.04,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfoa,HalfLife,in vivo,human,2.3,,year,serum,200 (M+F),Bartell et al. 2010,10.1289/ehp.0901252,"From EFSA scientific opinion, Table 15",average,
pfoa,HalfLife,,rats,13.4,,day,blood,4,"Benskin et al., 2009",,,,
pfhxs,HalfLife,,human,4,,year,,,"CDC (2019, 2020)",,U.S. NHANES participants,,
pfna,HalfLife,in vivo,human,2.35,1.65-3.16,year,,,"Chiu et al., 2022",https://doi.org/10.1289/EHP10103,,,
pfoa,HalfLife,,human,3.14,2.69-3.73,year,,,"Chiu et al., 2022",https://doi.org/10.1289/EHP10103,,,
pfhxs,HalfLife,in vivo ,human,8.3,5.38-13.5,year,,,"Chiu et al., 2022",https://doi.org/10.1289/EHP10103,,,
