"Idcode","exposure_type","expCONC","expCONC_Oral","expCONC_Dermal","Tinput","tinterval","expSTOP","expAGE","expBW","sex","Tstart","Tstop","Dt","log_expCONC_Oral","log_expCONC_Dermal"
1,"Oral",7.32907903733879e-05,7.32907903733879e-05,0,1,1,17075.7702776951,46.7829322676578,69.1924623863197,"M",0,20725.7702776951,1,-9.52107559989326,-Inf
2,"Oral_Dermal",0.0063307806393345,0.000112136752098773,0.00621864388723573,1,1,17754.3264458646,48.6419902626429,64.9491019372851,"M",0,21404.3264458646,1,-9.09579143060263,-5.08020342056203
3,"Oral",3.79890545170179e-05,3.79890545170179e-05,0,1,1,13271.5643521212,36.3604502797842,69.4784640666968,"M",0,16921.5643521212,1,-10.1782124787549,-Inf
4,"Oral_Dermal",0.00441398471623192,0.000284658033868128,0.00412932668236379,1,1,11387.1029752914,31.1975423980586,76.2886062510844,"F",0,15037.1029752914,1,-8.16422197929384,-5.48964091620483
5,"Oral",6.59877745119413e-05,6.59877745119413e-05,0,1,1,17187.2338207262,47.0883118376059,91.8000239748484,"M",0,20837.2338207262,1,-9.62604106776346,-Inf
6,"Oral_Dermal",9.06228927296518e-05,8.10704037477715e-05,9.55248898188035e-06,1,1,17319.7895670994,47.4514782660259,69.3098269348078,"M",0,20969.7895670994,1,-9.42019259874058,-11.5587088110539
7,"Oral",4.8795793836567e-05,4.8795793836567e-05,0,1,1,12357.8920238919,33.8572384216218,85.448636020376,"M",0,16007.8920238919,1,-9.92786644069353,-Inf
8,"Oral",5.6992453343089e-05,5.6992453343089e-05,0,1,1,12314.22540191,33.7376038408494,83.2145201716263,"M",0,15964.22540191,1,-9.77259169638471,-Inf
9,"Oral",0.000170859967842169,0.000170859967842169,0,1,1,8836.71203645415,24.2101699628881,73.221515753628,"F",0,12486.7120364541,1,-8.6746662384524,-Inf
10,"Oral",0.000126049095723004,0.000126049095723004,0,1,1,13233.5432602228,36.25628290472,85.3095511973516,"F",0,16883.5432602228,1,-8.97883907831082,-Inf
11,"Oral_Dermal",0.000189834090768879,0.000183937277365157,5.89681340372224e-06,1,1,23819.7834392806,65.2596806555633,65.7876030666143,"M",0,27469.7834392806,1,-8.60091574235443,-12.0410984540237
12,"Oral_Dermal",0.00239016018648329,0.000131384959430972,0.00225877522705232,1,1,15899.1875568123,43.5594179638693,58.4117897718186,"F",0,19549.1875568123,1,-8.93737892246092,-6.09293254753035
13,"Oral_Dermal",0.000212554682818262,0.000197606659250161,1.49480235681013e-05,1,1,16718.1851051134,45.8032468633244,51.5463171057853,"F",0,20368.1851051134,1,-8.52923207255965,-11.1109314696697
14,"Oral_Dermal",5.65379689248648e-05,4.56000887327454e-05,1.09378801921194e-05,1,1,9760.83733009974,26.742020082465,81.5732528705715,"F",0,13410.8373300997,1,-9.99560089555229,-11.4232785464623
15,"Oral_Dermal",0.000188490939486686,0.000176825420759972,1.16655187267135e-05,1,1,18342.5266213752,50.2534975928087,58.0396848188917,"F",0,21992.5266213752,1,-8.64034763551743,-11.3588731848372
16,"Oral",0.000143421877546057,0.000143421877546057,0,1,1,9017.19257119341,24.7046371813518,86.4219199076734,"M",0,12667.1925711934,1,-8.84972007835264,-Inf
17,"Oral",0.00010025340861658,0.00010025340861658,0,1,1,12054.6126950645,33.0263361508617,78.8365483316202,"M",0,15704.6126950645,1,-9.20780949119273,-Inf
18,"Oral",8.40171993143184e-05,8.40171993143184e-05,0,1,1,20005.9017678908,54.8106897750433,75.2487589103592,"M",0,23655.9017678908,1,-9.38448902633826,-Inf
19,"Oral_Dermal",0.00365581236981044,7.76171800632196e-05,0.00357819518974722,1,1,15505.5122534884,42.4808554890094,58.1534093436923,"M",0,19155.5122534884,1,-9.46372176271156,-5.6328967426314
20,"Oral_Dermal",0.00264858126704092,0.000135717335161095,0.00251286393187982,1,1,18138.4300369404,49.6943288683299,96.5578827214279,"F",0,21788.4300369404,1,-8.90493625306937,-5.98633216757709
21,"Oral_Dermal",0.00442515623564704,0.000148607069932176,0.00427654916571486,1,1,21840.4233265608,59.8367762371529,59.5208628978169,"F",0,25490.4233265608,1,-8.81420484987982,-5.45460886429145
22,"Oral_Dermal",0.00314784323859195,8.27088898314365e-05,0.00306513434876051,1,1,10342.3018499586,28.3350735615305,59.8887747638096,"F",0,13992.3018499586,1,-9.40018346677302,-5.78766387735379
23,"Oral_Dermal",0.000229488529797501,0.000218511489037455,1.0977040760046e-05,1,1,23752.9089154893,65.0764627821624,76.6892165251433,"F",0,27402.9089154893,1,-8.42867196340387,-11.4197046700433
24,"Oral_Dermal",8.76558213587986e-05,8.20522357324256e-05,5.60358562637297e-06,1,1,11232.9806837719,30.7752895445804,71.2917729367619,"M",0,14882.9806837719,1,-9.40815449238471,-12.0921038746979
