idModelInstance,Parameter,Value,Unit,Description,Reference
PBK_PFOA_PARAM,VIntestine_lumenc,0.038,dimensionless,volume fraction of intestine lumen,
PBK_PFOA_PARAM,VIntestine_tissuec,0.014,dimensionless,volume fraction of intestine tissue,
PBK_PFOA_PARAM,VLiverc,0.0248,dimensionless,volume fraction of liver,
PBK_PFOA_PARAM,PIntestine,0.03431731,dimensionless,Partition coefficient plasma / intestine tissue,
PBK_PFOA_PARAM,PKidney,0.08494018,dimensionless,Partition coefficient plasma / kidney,
PBK_PFOA_PARAM,PLiver,0.07172916,dimensionless,Partition coefficient plasma / liver,
PBK_PFOA_PARAM,PAdipose,0.09341268,dimensionless,Partition coefficient plasma / adipose,
PBK_PFOA_PARAM,PRest,0.04101715,dimensionless,Partition coefficient plasma / Restbody,
PBK_PFOA_PARAM,Km_OATP1B1,21800.79,ug/L,Michaelis_Menten constant,
PBK_PFOA_PARAM,Km_OATP1B3,37932.95,ug/L,Michaelis_Menten constant,
PBK_PFOA_PARAM,Vmax_OAT4c,13756588116.0,ug/d/L,Limiting rate of OAT4 relativized by kidney proximal tubule,
PBK_PFOA_PARAM,Vmax_BSEPc,48535498.0,ug/d/L,Limiting rate of BSEP relativized by liver intracellular,
PBK_PFOA_PARAM,Km_BSEP,6790.748,ug/L,Michaelis-Menten constant,
PBK_PFOA_PARAM,kfe,3.36,/d,fecal excretion,
