element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Intestine_lumen,compartment,intestine lumen,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00478,
Intestine_tissue,compartment,intestine tissue,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Liver_extracellular,compartment,liver extracellular,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Liver_intracellular,compartment,liver intracellular,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Plasma,compartment,blood plasma,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Kidney_proximal_tubule_tissue,compartment,kidney proximal tubule tissue,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00557,
Kidney_proximal_tubule_lumen,compartment,kidney proximal tubule lumen,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00557,
Kidney_rest_tissue,compartment,kidney rest of kidney tissue,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00557,
Kidney_rest_lumen,compartment,kidney rest of kidney lumen,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00557,
Adipose,compartment,adipose,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00460,
Rest,compartment,rest-of-body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Feces,compartment,feces,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
Urine,compartment,urine,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00556,
Menstrual,compartment,menstrual plasma,L,rdf,BQM_IS,,
AIntestine_lumen,species,amount of chemical in intestinal lumen,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AIntestine_lumen,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
AIntestine_tissue,species,amount of chemical in intestinal tissue,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AIntestine_tissue,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
ALiver_extracellular,species,amount of chemical in liver extracellular,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_extracellular,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
ALiver_intracellular,species,amount of chemical in liver intracellular,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_intracellular,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
APlasma,species,amount of chemical in plasma,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
AKidney_proximal_tubule_tissue,species,amount of chemical in kidney tubule tissue,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
AKidney_proximal_tubule_tissue,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
AKidney_proximal_tubule_lumen,species,amount of chemical in kidney tubule lumen,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
AKidney_proximal_tubule_lumen,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
AKidney_rest_tissue,species,amount of chemical in rest kidney tissue,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
AKidney_rest_tissue,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
AKidney_rest_lumen,species,amount of chemical in rest kidney lumen,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
AKidney_rest_lumen,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
AAdipose,species,amount of chemical in adipose,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00550,
AAdipose,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
ARest,species,amount of chemical in rest-of-body,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
AFeces,species,cumulative amount of chemical in feces,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00273,
AFeces,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
