Parameter,Abbreviation,Units,Initial_value,Std,CV,Distribution,Uncertainty_Variability,Binf,Bsup,Mean,sdlog,zscore,Reference,Comment
Body weight ,BW,kg,7.42E+01,NA,0.1,LogNormal,Medium,6.13E+01,8.70E+01,7.42E+01,9.98E-02,4.00E+00,ICRP 89,sdlog calculated based on the CV from Chen et al. 2025 https://doi.org/10.1016/j.ecoenv.2025.118083
Cardiac output,QC,L/day,5.23E+03,NA,0.1,LogNormal,Medium,4.33E+03,6.14E+03,5.23E+03,9.98E-02,4.00E+00,ICRP 89,sdlog calculated based on the CV from Chen et al. 2025 https://doi.org/10.1016/j.ecoenv.2025.118084
Hematocrit,Hct,NA,4.27E-01,NA,0.1,LogNormal,Medium,3.53E-01,5.01E-01,4.27E-01,9.98E-02,4.00E+00,ICRP 89,sdlog calculated based on the CV from Chen et al. 2025 https://doi.org/10.1016/j.ecoenv.2025.118085
Fractional volume of skin,VSkc,NA,4.52E-02,NA,0.1,LogNormal,Low,4.07E-02,4.97E-02,4.52E-02,9.98E-02,2.00E+00,ICRP 89,sdlog assumed the same as the sdlog of muscle in Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Fractional volume of intestine,VIc,NA,1.40E-02,NA,0.1,LogNormal,Low,1.26E-02,1.54E-02,1.40E-02,9.98E-02,2.00E+00,ICRP 89,sdlog taken from Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Fractional volume of intestinal lumen,VILc,NA,2.38E-02,NA,0.1,LogNormal,Medium,2.14E-02,1.83E+00,2.38E-02,9.98E-02,4.00E+00,ICRP 89,sdlog proportional to the one from fractional volume of intestine
Surface area of the small intestine,SA_SI,cm2,6.05E+04,NA,0.1,LogNormal,High,5.00E+04,7.10E+04,6.05E+04,9.98E-02,5.00E+00,Calculated  based on Willmann et al. 2004 doi: 10.1021/jm030999b,sdlog calculated based on the CV of body surface area from Chen et al. 2025 https://doi.org/10.1016/j.ecoenv.2025.118085
Fractional volume of liver,VLc,NA,2.47E-02,NA,0.1,LogNormal,Low,2.22E-02,2.72E-02,2.47E-02,9.98E-02,2.00E+00,ICRP 89,sdlog taken from Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Fractional volume of live intracellular space,VL_icc,NA,5.73E-01,NA,0.1,LogNormal,Medium,5.16E-01,6.30E-01,5.73E-01,9.98E-02,4.00E+00,Calculated based on Utsey et al. 2020 https://doi.org/10.1124/dmd.120.090498,sdlog proportional to the one from fractional volume of liver
Fractional volume of liver extracellular space,VL_ecc,NA,4.27E-01,NA,0.1,LogNormal,Medium,3.84E-01,4.70E-01,4.27E-01,9.98E-02,4.00E+00,Calculated based on Utsey et al. 2020 https://doi.org/10.1124/dmd.120.090499,sdlog proportional to the one from fractional volume of liver
