Tissue,f_SL,f_ML,f_ALB,f_SP,f_W,f_FABP,Comment,Species
NamingInUtsey,f_n_l,f_n_pl,NA,f_proteins,f_water,NA,NA,NA
Comment,storage lipids are total fat - total phospholipids (neutral + acidic),membrane lipids is neutral phospholipids,albimin in interstitial space,,these values were slighly different in Utsey,,,NA
Adipose,0.79800,0.04780,0.00090,0.05000,0.15300,0.00000,NA,Human
Brain,0.04500,0.05530,0.00000,0.08000,0.77100,0.00000,NA,Human
Gut,0.04700,0.01260,0.00070,0.13000,0.79000,0.00000,NA,Human
Heart,0.08900,0.00790,0.00090,0.17000,0.74200,0.00000,NA,Human
Kidney,0.03600,0.01660,0.00140,0.16670,0.77800,0.00330,NA,Human
Liver,0.03700,0.01150,0.00120,0.17690,0.73700,0.00310,NA,Human
Lung,0.00300,0.00560,0.00270,0.18000,0.79600,0.00000,NA,Human
Muscle,0.01300,0.00920,0.00090,0.17000,0.77300,0.00000,NA,Human
Skin,0.03600,0.05020,0.00180,0.29000,0.66700,0.00000,NA,Human
Spleen,0.01400,0.01030,0.00130,0.19000,0.78300,0.00000,NA,Human
Blood,0.00300,0.00390,0.01760,0.16240,0.80700,0.00000,NA,Human
Plasma,0.00300,0.00500,0.02940,0.02210,0.92800,0.00000,NA,Human
Gonads,0.00000,0.01070,0.00080,0.12000,0.81000,0.00000,NA,Human
Bone,0.07400,0.00160,0.00000,0.26800,0.44600,0.00000,assuming 0 for f_ALB but I'm not sure,Human
Adipose,0.85300,0.00160,0.00090,0.06000,0.17500,0.00000,NA,Rat
Brain,0.03120,0.03940,0.00000,0.08000,0.77400,0.00000,NA,Rat
Gut,0.03800,0.01260,0.00070,0.05630,0.76000,0.00000,NA,Rat
Heart,0.01400,0.01060,0.00090,0.19000,0.73000,0.00000,NA,Rat
Kidney,0.01200,0.02400,0.00140,0.17690,0.71700,0.00310,NA,Rat
Liver,0.01400,0.02380,0.00120,0.20750,0.58300,0.00250,NA,Rat
Lung,0.02200,0.01230,0.00270,0.11000,0.53000,0.00000,NA,Rat
Muscle,0.01000,0.00720,0.00090,0.19000,0.75000,0.00000,NA,Rat
Skin,0.02400,0.00440,0.00180,0.41000,0.64500,0.00000,NA,Rat
Spleen,0.00800,0.01070,0.00130,0.23000,0.52000,0.00000,NA,Rat
Blood,0.00100,0.00160,0.01430,0.16570,0.82300,0.00000,NA,Rat
Plasma,0.00200,0.00100,0.02450,0.01020,0.96000,0.00000,NA,Rat
Gonads,0.00000,0.01070,0.00080,0.12000,0.86000,0.00000,NA,Rat
Bone,0.00074,0.00002,0.00000,0.00268,0.00446,0.00000,assuming 0 for f_ALB but I'm not sure,Rat
