"BW","QC","Hct","VSkc","VIc","VILc","SA_SI","VLc","VL_icc","VL_ecc","VKc","VPTc","VPTTc","VPTLc","VRKLc","VAc","MAc","VPc","QSkc","QIc","QLc","QKc","QAc","QUrc","GFRc","QT","tco","R_PTL","R_L_ic","fup","pKa","PSkc","PIc","PLc","PKc","PAc","PRc","Papp_SI","Vmax_OATP1B1c","Km_OATP1B1c","Vmax_OATP1B3c","Km_OATP1B3c","SF_OATP1B1","SF_OATP1B3","VmaxBSEPc","KmBSEPc","SF_BSEP","Vmax_OAT4c","Km_OAT4c","SF_OAT","EXP_STOP","COral"
66.44,5054,0.3826,0.0443,0.01372,1.46828,50000,0.0262,0.63,0.4356,0.00462,0.406,0.5064,0.411,0.2998,0.223,10.886,0.07762,0.04888,0.1524,0.0689,0.176,0.06302,0.0242,0.1614,43.2,3.02,1728.4,10.76,0.0004488,1,230.2,59.02,136.2,161.2,183.6,59.68,8.05e-06,1.79e-06,93,1.88e-06,140.996,1980000.4,1,5.774,28.6,12.8,0.005022,52.2,105000,17880,0.046832
66.44,5054,0.3826,0.0443,0.01372,1.46828,50000,0.0262,0.5616,0.4356,0.00462,0.406,0.5064,0.411,0.2998,0.223,10.886,0.07762,0.04888,0.1524,0.0689,0.176,0.06302,0.0242,0.1614,43.2,3.02,1728.4,10.76,0.0004488,1,230.2,59.02,136.2,161.2,183.6,59.68,8.05e-06,1.79e-06,93,1.88e-06,140.996,1980000.4,1,5.774,28.6,12.8,0.005022,52.2,105000,17880,0.046832
66.44,5054,0.3826,0.0443,0.01372,1.46828,50000,0.0262,0.5616,0.4356,0.00462,0.406,0.5064,0.411,0.2998,0.223,10.886,0.07762,0.04888,0.1524,0.0689,0.176,0.06302,0.0242,0.1614,43.2,3.02,1728.4,10.76,0.0004488,1,230.2,59.02,136.2,161.2,183.6,59.68,8.05e-06,1.79e-06,93,1.88e-06,140.996,1980000.4,1,5.774,28.6,12.8,0.005022,52.2,105000,17880,0.183458
66.44,5054,0.3826,0.0443,0.01372,1.46828,50000,0.0262,0.5616,0.4356,0.00462,0.406,0.5064,0.411,0.2998,0.223,10.886,0.07762,0.04888,0.1524,0.0689,0.176,0.06302,0.0242,0.1614,43.2,3.02,1728.4,10.76,0.0004488,1,230.2,59.02,136.2,161.2,183.6,67,8.05e-06,1.79e-06,93,1.88e-06,140.996,1980000.4,1,5.774,28.6,12.8,0.005022,52.2,105000,17880,0.183458
66.44,5054,0.3826,0.0443,0.01372,1.46828,62600,0.0262,0.5616,0.4356,0.00462,0.406,0.5064,0.411,0.2998,0.223,10.886,0.07762,0.04888,0.1524,0.0689,0.176,0.06302,0.0242,0.1614,43.2,3.02,1728.4,10.76,0.0004488,1,230.2,59.02,136.2,161.2,183.6,67,8.05e-06,1.79e-06,93,1.88e-06,140.996,1980000.4,1,5.774,28.6,12.8,0.005022,52.2,105000,17880,0.183458
66.44,5054,0.3826,0.0443,0.01372,1.46828,62600,0.0262,0.5616,0.4356,0.00462,0.406,0.5064,0.411,0.2998,0.223,10.886,0.07762,0.04888,0.1524,0.0689,0.176,0.06302,0.0242,0.1614,43.2,3.428,1728.4,10.76,0.0004488,1,230.2,59.02,136.2,161.2,183.6,67,8.05e-06,1.79e-06,93,1.88e-06,140.996,1980000.4,1,5.774,28.6,12.8,0.005022,52.2,105000,17880,0.183458
66.44,5054,0.3826,0.0443,0.01372,1.46828,62600,0.0262,0.5616,0.4356,0.00462,0.406,0.5064,0.411,0.2998,0.223,10.886,0.07762,0.04888,0.1356,0.0689,0.176,0.06302,0.0242,0.1614,43.2,3.428,1728.4,10.76,0.0004488,1,230.2,59.02,136.2,161.2,183.6,67,8.05e-06,1.79e-06,93,1.88e-06,140.996,1980000.4,1,5.774,28.6,12.8,0.005022,52.2,105000,17880,0.183458
66.44,5054,0.3826,0.0443,0.01372,1.46828,62600,0.0262,0.5616,0.4356,0.00462,0.406,0.5064,0.411,0.2998,0.223,10.886,0.07762,0.04888,0.1356,0.0689,0.176,0.06302,0.0242,0.1614,89.28,3.428,1728.4,10.76,0.0004488,1,230.2,59.02,136.2,161.2,183.6,67,8.05e-06,1.79e-06,93,1.88e-06,140.996,1980000.4,1,5.774,28.6,12.8,0.005022,52.2,105000,17880,0.183458
66.44,5054,0.3826,0.0443,0.01372,1.46828,62600,0.0262,0.5616,0.4356,0.00462,0.406,0.5064,0.411,0.2998,0.223,10.886,0.07762,0.04888,0.1356,0.0689,0.176,0.06302,0.0242,0.1614,89.28,3.428,1728.4,10.76,0.0004488,1,230.2,59.02,136.2,161.2,183.6,67,8.05e-06,1.79e-06,93,1.88e-06,140.996,1980000.4,1,8.426,28.6,12.8,0.005022,52.2,105000,17880,0.183458
66.44,5054,0.3826,0.0443,0.01372,1.46828,62600,0.0262,0.5616,0.4356,0.00462,0.406,0.5064,0.411,0.2998,0.223,10.886,0.07762,0.04888,0.1356,0.0689,0.176,0.06302,0.0242,0.1614,89.28,3.428,1728.4,10.76,0.0004488,1,230.2,59.02,136.2,161.2,183.6,67,8.05e-06,1.79e-06,93,2.858e-06,140.996,1980000.4,1,8.426,28.6,12.8,0.005022,52.2,105000,17880,0.183458
