"","tSI.fup.CP","tSI.PL.CP","tSI.PA.CP","tSI.PK.CP","tSI.PSk.CP","tSI.PR.CP","tSI.PG.CP","tSI.VSk.CP","tSI.VK.CP","tSI.VFil.CP","tSI.VG.CP","tSI.VL.CP","tSI.VA.CP","tSI.VR.CP","tSI.VP.CP","tSI.QSk.CP","tSI.QK.CP","tSI.QG.CP","tSI.QL.CP","tSI.QA.CP","tSI.QR.CP","tSI.QUr.CP","tSI.GFR.CP","tSI.CL_FiltPT.CP","tSI.CLbiliary.CP","tSI.CLfecal.CP","Times","Year"
"0.01",0.000317410247973826,0.194706193967098,0.0225750544439379,0.00298016575422388,0.00153517270843062,0.394314238515902,0.000569341507991705,0.00116962248971497,0.00232519409344512,0.00143812526857146,0.000948805390580287,0.18202361148693,0.00469890552491925,0.125031445570202,0.0966662016802801,0.000702921474699192,0.00467270485464466,0.00796974347944246,0.00258080941982153,0.00426452708192304,0.00549391124674747,0.00061782693598833,0.00101292884770854,0.00105286862562559,0.00192438901870018,0.0104692688074393,0.01,1.14155251141553e-06
"1.01",0.000307944045938924,0.170824009881322,0.0249708266503335,0.0035437935707554,0.00145109217994532,0.402241538074156,0.000701003755514629,0.00135237537571531,0.00262849373988538,0.00151366260491448,0.00094624052399761,0.149346855030378,0.00640828782202552,0.152805891880854,0.103873324375686,0.000758177414494243,0.00532032174555785,0.00201359237160015,0.00162738770699411,0.00359063332543119,0.0045935722674183,0.000611575882443427,0.00104728576466651,0.00100699083728339,0.00208368548420734,0.00957245010425889,1.01,0.000115296803652968
"2.01",0.000311513224748983,0.170537419603883,0.0251322112319653,0.00388504141338852,0.00143985870067032,0.402242220356636,0.000698427875653995,0.00135169343233743,0.00262027482199634,0.00153163496302933,0.000946593765711934,0.149348723849747,0.00640872582568996,0.153067463414924,0.104226456906835,0.000760388786723021,0.00529894105174544,0.00200576872938463,0.00163420452973995,0.003559431815504,0.00462402844201926,0.000618103858613051,0.00105909070001942,0.00100935546723013,0.00207615465577771,0.00963348536503505,2.01,0.000229452054794521
"3.01",0.00031633381088203,0.170360606134977,0.0252843919645447,0.00422269051784663,0.00143014786455653,0.402205982613241,0.000695822450448302,0.00135086916295157,0.00261239036928873,0.00154855004086862,0.000947149173449402,0.149435818068555,0.00640371686478747,0.153210344707627,0.104568913369802,0.000762507273972202,0.00527747987434712,0.00199866164020523,0.00164114361198719,0.00353280541270951,0.00465412800683551,0.000626879538170644,0.0010773040690325,0.00101559956525821,0.00206913641456563,0.0096973672963826,3.01,0.000343607305936073
"4.01",0.000322386031604283,0.170226550619416,0.0254328409340866,0.00456869955384642,0.0014211448480056,0.402149293971275,0.000693272394948319,0.00135002720226962,0.00260473482686241,0.00156518973781938,0.000947875059747916,0.149555681144296,0.00639652070813423,0.153304261712587,0.104908264107904,0.000764688089729071,0.005256061935624,0.00199185557902071,0.00164819180306075,0.00350833546328932,0.00468392117466754,0.000637881453887768,0.00110173067517072,0.00102532351943152,0.00206240131977387,0.00976345219018471,4.01,0.000457762557077626
"5.01",0.000329667718187987,0.170112815509817,0.0255793548733542,0.00492714112223669,0.00141257708381515,0.402077564177268,0.000690806252781617,0.00134920955822326,0.00259727278817901,0.00158181649137645,0.00094876211588435,0.149690721240603,0.00638822956521412,0.153372544492561,0.105247043409031,0.000766983052475467,0.00523472983824524,0.0019852677077542,0.00165535079640378,0.00348521322528295,0.00471342545409814,0.000651115052554885,0.00113234535263429,0.0010384011336787,0.00205587332821877,0.00983154705623701,5.01,0.000571917808219178
"6.01",0.000338179580541498,0.170009757645379,0.0257246772724954,0.005299797303156,0.0014043270976396,0.40199307469856,0.000688436227876066,0.00134843451273081,0.00258998891766493,0.00159854312294083,0.000949807218100895,0.1498333573613,0.00637931314118345,0.153425207169862,0.105586344934879,0.000769414005467817,0.00521350671786147,0.00197887639352745,0.0016626229567962,0.00346308961871322,0.00474264080306397,0.000666589667491557,0.00116916143028778,0.00105477877917248,0.00204952012761817,0.00990159281665748,6.01,0.000686073059360731
"7.01",0.00034792287517782,0.16991254450534,0.0258691553888326,0.00568758099966626,0.00139633558545371,0.401896941536426,0.000686168343482563,0.00134771140446788,0.00258287540975,0.00161542606473242,0.00095100952891003,0.149979773266171,0.00637000699929924,0.153467257332808,0.105926721837079,0.000771991435167485,0.00519240910374119,0.00197267546371793,0.00167001008774947,0.003441787825054,0.00477155892184256,0.000684315193349994,0.00121220422001722,0.00107442866376006,0.0020433257682847,0.00997358216018163,7.01,0.000800228310502283
"8.01",0.000358898898200954,0.16981848541096,0.0260129595790345,0.00609101411623114,0.00138856910806073,0.401789765383128,0.000684005862927717,0.00134704558429688,0.00257592780958193,0.00163249656296671,0.000952369215231785,0.150127829165514,0.0063604424516529,0.153501473639752,0.106268486923793,0.000774720759120773,0.00517145068276759,0.00196666340074891,0.00167751350071554,0.00342120755967978,0.00480016742667477,0.00070430146351641,0.00126150344870413,0.00109733394254552,0.00203728156017557,0.0100475316517281,8.01,0.000914383561643836
"9.01",0.000371108851893287,0.169725962029768,0.026156171100843,0.00651041999154522,0.00138100716235912,0.401671890626406,0.000681950660942232,0.00134644040567589,0.00256914333727232,0.00164977319285475,0.00095388693927978,0.150276224662469,0.00635069860551718,0.153529518972815,0.106611832793408,0.000777604841940671,0.00515064364972007,0.00196084020559706,0.00168513416886118,0.00340128680120022,0.00482845181313651,0.000726558132448374,0.00131709057480645,0.00112348294786146,0.00203138243568335,0.0101234704509378,9.01,0.00102853881278539
