"","tSI.BW.CP","tSI.QC.CP","tSI.VA.CP","tSI.VG.CP","tSI.VK.CP","tSI.VL.CP","tSI.VP.CP","tSI.VSk.CP","tSI.VR.CP","tSI.VFil.CP","tSI.QA.CP","tSI.QG.CP","tSI.QK.CP","tSI.QL.CP","tSI.QSk.CP","tSI.QR.CP","tSI.QUr.CP","tSI.GFR.CP","tSI.PA.CP","tSI.PG.CP","tSI.PK.CP","tSI.PL.CP","tSI.PSk.CP","tSI.PR.CP","tSI.CL_FiltPT.CP","tSI.CLbiliary.CP","tSI.CLfecal.CP","tSI.fup.CP","Times","Year"
"0.01",0.00229129746445922,0.000842584410204905,0.10650815493348,0.000866844342311102,0.000794006947145931,0.00456518851925769,0.508028458502123,0.0107001106830358,0.0581183106472756,0.000310981609984218,0.0879743490023048,0.000899880045356349,0.000559351051012569,0.000628909345081863,0.00099443174837055,0.00177976236649435,0.000783190169170389,0.000681046591795464,0.0806083529323324,0.00113579822486032,0.000584421733032636,0.00197798358157197,0.0177837634848723,0.11900315574488,0.00145140154059564,0.000577047062074509,0.0010352932991643,0.00061681719926443,0.01,1.14155251141553e-06
"1.01",0.00186275102145383,0.000645637320066728,0.315404962740641,0.000557312655049547,0.000857455945451169,0.00507552849560755,0.186115137582571,0.0168520168639776,0.0648446740375687,0.000896175365143304,0.000810820444162141,0.00107434796668315,0.000655654017572616,0.00169573284302504,0.00388122988505102,0.00559766440642417,0.00113931239912524,0.000740670128272836,0.275429814209582,0.00233316127567085,0.000841385335222045,0.00456749176304783,0.00937704801844119,0.0511825869427071,0.0015354198195543,0.00170724207494477,0.00124864407830483,0.00101744501714007,1.01,0.000115296803652968
"2.01",0.00186268857553407,0.0006456854285668,0.315404928940195,0.000557315960219129,0.000857456802477508,0.00507551574816723,0.186115173347582,0.0168531724352176,0.0648411074942735,0.000896176990415665,0.0008108007456753,0.00107427847784158,0.000655668400406428,0.00169571712165939,0.00388120654003177,0.0055979683666465,0.00113932999886113,0.000740682005105908,0.2754352394219,0.00233385414371623,0.000841389659038905,0.00456758948173996,0.00937702595468093,0.0511835723586782,0.00153543452772054,0.00170725101752545,0.00124867616613322,0.00101747615250936,2.01,0.000229452054794521
"3.01",0.00186262599327758,0.000645733612154364,0.315404894241196,0.000557319271120127,0.000857457627145397,0.0050755031005284,0.186115211120916,0.0168543281167102,0.0648375407595324,0.000896179167713784,0.00081078104894694,0.00107420914436696,0.000655683051399403,0.00169570129572716,0.00388118213404365,0.00559827202274077,0.00113934773668589,0.000740694157790878,0.275440664359317,0.0023345502320955,0.000841394309453292,0.00456768747103098,0.00937700371395378,0.0511845583879476,0.00153544923915583,0.00170726012631406,0.00124870917344322,0.0010175073115587,3.01,0.000343607305936073
"4.01",0.00186256359470383,0.000645781826873137,0.315404858649346,0.000557322593806697,0.000857458697677949,0.0050754904666529,0.186115248483536,0.0168554838916786,0.0648339733089541,0.000896181100301541,0.000810761357025513,0.00107413947301482,0.000655697568765157,0.00169568575979318,0.003881157995414,0.00559857574976996,0.00113936551718363,0.000740706290142445,0.275446088891824,0.00233524964100951,0.000841398999678167,0.0045677854540056,0.0093769815317819,0.0511855441561189,0.00153546398035842,0.00170726928302456,0.00124874311700984,0.00101753849295561,4.01,0.000457762557077626
"5.01",0.00186250109696151,0.000645830071753228,0.315404822532619,0.000557325922494911,0.000857459560841933,0.00507547784495099,0.186115285579604,0.0168566398311972,0.0648304060593564,0.000896183054470812,0.000810741677830018,0.00107407011744565,0.000655712113916906,0.00169566987332215,0.00388113397263212,0.0055988795215034,0.00113938331685015,0.000740718436534671,0.275451513314228,0.00233595237514583,0.000841403704404109,0.00456788347119397,0.0093769593130042,0.0511865297047067,0.00153547874396043,0.00170727848474495,0.00124877799475676,0.00101756969500222,5.01,0.000571917808219178
"6.01",0.00186243866297175,0.000645878346958839,0.315404785804823,0.000557329258628059,0.000857460501707208,0.00507546522990443,0.186115322381859,0.0168577959297317,0.0648268387404317,0.000896185030958896,0.000810722011127196,0.00107400082300979,0.000655726673739365,0.00169565443287911,0.00388110996594393,0.00559918334638576,0.00113940113748934,0.000740730597884487,0.275456937674496,0.00233665841106223,0.000841408434917201,0.00456798152986382,0.00937693712327303,0.0511875150216352,0.00153549353199178,0.00170728773389395,0.00124881380848718,0.00101760091736947,6.01,0.000686073059360731
"7.01",0.00186237622692254,0.000645926653418893,0.315404748433223,0.000557332602744043,0.000857461456658548,0.00507545261824505,0.186115358886807,0.0168589521798568,0.0648232714589996,0.000896187030191675,0.00081070235691949,0.00107393146115176,0.000655741245609187,0.0016956386769712,0.00388108598003434,0.00559948722389536,0.00113941897966385,0.000740742774125169,0.275462361967049,0.00233736776192917,0.000841413190555418,0.00456807962667116,0.00937691494274584,0.0511885000991144,0.00153550834465466,0.00170729702825412,0.00124885055740342,0.00101763215934569,7.01,0.000800228310502283
"8.01",0.00186231380373403,0.000645974991052012,0.315404710411038,0.000557335954818439,0.000857462422060085,0.00507544001216909,0.186115395094234,0.0168601085860116,0.064819704214229,0.000896189052217666,0.000810682715249644,0.0010738621998595,0.000655755831757032,0.00169562304097048,0.00388106200764704,0.00559979115709464,0.00113943684328033,0.000740754965251056,0.275467786199434,0.00233808043226091,0.000841417971570002,0.00456817776514651,0.00937689277104237,0.0511894849398875,0.00153552318196482,0.00170730637073901,0.0012488882414835,0.00101766342074205,8.01,0.000914383561643836
"9.01",0.0018622513918457,0.000646023359998638,0.315404671746913,0.000557339314782523,0.000857463397082481,0.00507542741246092,0.186115431004506,0.0168612651430006,0.0648161370078941,0.000896191096937504,0.000810663086065699,0.00107379302778587,0.000655770431053693,0.00169560742820385,0.00388103804936546,0.00560009514186399,0.00113945472844357,0.000740767171270251,0.275473210363849,0.0023387964187479,0.000841422777954071,0.00456827594410458,0.00937687060810211,0.0511904695440113,0.00153553804391238,0.00170731575736893,0.00124892686084499,0.00101769470177604,9.01,0.00102853881278539
