"","tSI.BW.CP","tSI.VK.CP","tSI.VFil.CP","tSI.QK.CP","tSI.QUr.CP","tSI.GFR.CP","tSI.PA.CP","tSI.PG.CP","tSI.PK.CP","tSI.PL.CP","tSI.PSk.CP","tSI.PR.CP","tSI.CL_FiltPT.CP","tSI.CLbiliary.CP","tSI.CLfecal.CP","tSI.fup.CP","Times","Year"
"0.01",0.00180853091179862,0.00197428562194752,0.00167512027571657,0.00187072890231288,0.00165895636574791,0.0017591872069544,0.565668304213557,0.000548725886906731,0.000856737727766399,0.00493698737276091,0.07592695652923,0.344247707328082,0.00097917435097401,0.000973564598040633,0.00092083470526092,0.000919317871609393,0.01,1.14155251141553e-06
"1.01",0.00230849663094914,0.00227783580517662,0.00215516781270522,0.00232837675569824,0.00216081209991152,0.00225055558124794,0.890313883261674,0.00027397966458298,0.000312733379336105,0.00177026706787846,0.0148675562259028,0.0892030385817884,0.000318944755933792,0.000330383910257548,0.000339950603181882,0.000331187726690518,1.01,0.000115296803652968
"2.01",0.0023084882773712,0.0022770489836333,0.00215772287307434,0.00232942549730184,0.00215958501861693,0.00225644360903561,0.889957456882576,0.000275113376885217,0.000335752433304215,0.00177015831940066,0.014871751599586,0.08920313578814,0.000320358045957136,0.000330800893991623,0.000339544836878947,0.000331662706690183,2.01,0.000229452054794521
"3.01",0.00230852991735901,0.00227630114688944,0.00216033900565218,0.00233051770579049,0.00215937041645056,0.00226460778534432,0.889596639897084,0.000276309723763712,0.000361245496768059,0.00177010452921684,0.0148759130738603,0.0892026399625635,0.000322793815430011,0.000331269598565709,0.000339206403148462,0.000332386811106766,3.01,0.000343607305936073
"4.01",0.00230862136634993,0.00227559242303157,0.00216301610140404,0.00233165346357822,0.00216016878674798,0.00227505194763493,0.889231432813064,0.00027756878827685,0.000389218419534609,0.00177010582087804,0.0148800406558582,0.0892015504498981,0.000326253982088787,0.000331790142598343,0.000338935417115871,0.000333360263865812,4.01,0.000457762557077626
"5.01",0.00230876259069539,0.00227492283013599,0.00216575439017781,0.00233283282681074,0.00216198049441789,0.00228778014218591,0.888861836905624,0.000278890697551493,0.000419676881128717,0.00177016239419503,0.0148841340117348,0.0891998667697089,0.000330740516201411,0.000332362626943028,0.00033873200720278,0.000334583260218779,5.01,0.000571917808219178
"6.01",0.00230895349810678,0.00227429258303378,0.00216855406758165,0.00233405586976589,0.00216480590727202,0.00230279625594578,0.888487853632013,0.00028027556984056,0.000452626439911574,0.00177027434026495,0.0148881928862151,0.0891975879782428,0.000336255343053238,0.000332987166030074,0.000338596305556305,0.000336055928985157,6.01,0.000686073059360731
"7.01",0.00230919399768346,0.00227370177917052,0.002171415326114,0.00233532266182934,0.00216864536657431,0.00232010413567736,0.888109484623435,0.000281723529026801,0.000488072539488282,0.0017704417820845,0.0148922169983236,0.0891947132611641,0.000342800368577079,0.00033366387121021,0.000338528441787544,0.000337778496137342,7.01,0.000800228310502283
"8.01",0.00230948399766227,0.00227315054506898,0.00217433835766641,0.00233663327242821,0.0021734991892695,0.00233970759067119,0.887726731681144,0.000283234694893331,0.000526020505400893,0.00177066484099415,0.0148962060695334,0.0891912418416013,0.000350377473540009,0.000334392852805165,0.000338528544935146,0.000339751144004063,8.01,0.000914383561643836
"9.01",0.00230982340417716,0.0022726390056288,0.00217732335253338,0.00233798776929661,0.00217936766882394,0.00236161039257499,0.887339596780056,0.000284809185459656,0.000566475544786771,0.0017709436379159,0.0149001598289079,0.0891871729886559,0.000358988514790015,0.000335174220105117,0.00033859674421961,0.000341974051181282,9.01,0.00102853881278539
"10.01",0.00231021212246565,0.00227216728632988,0.00218037050045756,0.00233938621827758,0.00218625107482442,0.00238581627031309,0.88694808206411,0.000286447116899269,0.000609442744507493,0.00177127829211046,0.0149040780108794,0.0891825060033773,0.000368635324714384,0.000336008081516037,0.000338733167509453,0.000344447391482383,10.01,0.00114269406392694
"11.01",0.00231065005405418,0.00227173550869288,0.0021834799886048,0.00234082868514174,0.00219414965283771,0.00241232892313121,0.886552189857051,0.000288148603660865,0.000654927072168099,0.00177166892248875,0.0149079603461937,0.0891772402454329,0.000379319712755533,0.000336894544058808,0.000338937943363971,0.000347171334701923,11.01,0.00125684931506849
"12.01",0.00231113710318107,0.00227134379970042,0.00218665200541994,0.00234231523119717,0.00220306362494127,0.00244115199115325,0.88615192264365,0.00028991375814329,0.000702933371112691,0.00177211564569013,0.0149118065844862,0.0891713750772755,0.00039104346133636,0.000337833714372993,0.000339211197288436,0.000350146045013044,12.01,0.00137100456621005
"13.01",0.00231167316250391,0.002270992271147,0.00218988673247782,0.00234384592325358,0.00221299318887624,0.00247228911956481,0.885747283104541,0.00029174269148402,0.000753466367777311,0.00177261857987867,0.0149156164451294,0.0891649099814212,0.000403808334575628,0.00033882569642345,0.000339553059353626,0.000353371684738857,13.01,0.0014851598173516
"14.01",0.00231225814471705,0.00227068106040798,0.00219318436001024,0.00234542081090499,0.00222393851928522,0.00250574381704662,0.885338274054334,0.000293635511537027,0.000806530653892046,0.0017731778366479,0.014919389725894,0.0891578443172946,0.000417616058969639,0.000339870596775316,0.000339963648722796,0.000356848406191412,14.01,0.00159931506849315
"15.01",0.00231289191284267,0.00227041024965318,0.00219654505770495,0.00234703997801078,0.00223589976664238,0.00254151974951138,0.884924898531325,0.000295592327724137,0.000862130720006005,0.00177379353822482,0.0149231260630393,0.0891501778285851,0.000432468365325844,0.000340968512455109,0.000340443105126509,0.000360576368612908,15.01,0.0017134703196347
"16.01",0.00231357443892581,0.00227018000306891,0.00219996902291297,0.00234870342264295,0.00224887705549299,0.00257962020089597,0.884507159436612,0.000297613239422989,0.000920270887549357,0.00177446578071363,0.0149268254708692,0.0891419095808755,0.000448366894602525,0.000342119558957621,0.000340991524364176,0.000364555702252978,16.01,0.00182762557077626
"17.01",0.00231430554789762,0.00226999049403598,0.00220345637991446,0.00235041128853322,0.00226287045176385,0.00262004897830421,0.884085061164925,0.000299698357132616,0.000980955442178977,0.00177519470798482,0.0149304872751711,0.0891330401130664,0.000465313385241584,0.000343323822548558,0.00034160907765397,0.000368786553263578,17.01,0.00194178082191781
"18.01",0.00231508504234077,0.00226984163416535,0.00220700746975555,0.00235216362261774,0.00227788013961443,0.00266280908288008,0.883658605795047,0.000301847773625963,0.0010441883523745,0.00177598039396394,0.0149341117866231,0.0891235675395576,0.0004833093841772,0.000344581386986298,0.000342295837822415,0.000373269115747643,18.01,0.00205593607305936
"19.01",0.00231591299862728,0.00226973377807203,0.00221062218904349,0.00235396044199632,0.0022939061560898,0.00270790402456742,0.883227798021689,0.000304061643869225,0.00110997372018302,0.0017768230009753,0.0149376981892386,0.0891134932778747,0.000502356567234008,0.000345892396243075,0.000343051985186338,0.000378003425775342,19.01,0.00217009132420091
"20.01",0.00231678915953426,0.00226966682571639,0.00221430111033605,0.00235580169788987,0.00231094829535399,0.00275533739363445,0.882792640929611,0.000306339952982437,0.00117831534420956,0.0017777225306246,0.0149412468336854,0.0891028157877665,0.000522456543438077,0.00034725694958968,0.000343877626492506,0.000382989655233246,20.01,0.00228424657534247
"21.01",0.00231771355896448,0.0022696410330501,0.00221804398955814,0.0023576875003982,0.00232900686053032,0.00280511224105002,0.882353140470222,0.000308682847565667,0.00124921698030247,0.00177867918481087,0.0149447567105486,0.0890915351943205,0.00054361079276628,0.000348675054537884,0.000344772795578163,0.000388227992171131,21.01,0.00239840182648402
"22.01",0.00231868595579308,0.00226965650507969,0.00222185125879149,0.00235961805375828,0.00234808185072304,0.00285723185024891,0.881909297932711,0.000311090465636221,0.00132268208222395,0.00177969310024912,0.014948228386245,0.089079651797533,0.000565820894729563,0.000350146898278836,0.000345737699974391,0.00039371848406351,22.01,0.00251255707762557
"23.01",0.00231970627131282,0.00226971330886994,0.00222572300038075,0.00236159329050878,0.00236817298439065,0.0029116994590265,0.881461120221076,0.000313562862301486,0.00139871419988409,0.00178076429815983,0.0149516613201966,0.0890671646578782,0.000589088362127899,0.000351672540460601,0.000346772473097756,0.00039946125353798,23.01,0.00262671232876712
"24.01",0.00232077436152494,0.00226981153441332,0.00222965939883186,0.00236361317237928,0.00238928031031487,0.00296851830535647,0.881008610605835,0.000316100125863072,0.00147731666004187,0.00178189289187414,0.0149550553173863,0.089054073986402,0.000613414705614623,0.000353252082858324,0.000347877223327431,0.00040545641892602,24.01,0.00274086757990868
"25.01",0.0023218901479853,0.0022699513677497,0.00223366061591646,0.0023656779031161,0.00241140381126064,0.00302769142804375,0.880551774460876,0.00031870234972764,0.00155849257355667,0.00178307903881845,0.0149584101026496,0.0890403799038986,0.000638801329237593,0.000354885598733468,0.000349052034713937,0.000411704101038102,25.01,0.00285502283105023
"26.01",0.00232305346331543,0.00227013281549449,0.00223772683393855,0.00236778735553622,0.00243454325842956,0.00308922202778905,0.880090616107216,0.00032136961654583,0.00164224509693414,0.00178432277466953,0.0149617256384841,0.089026082034834,0.000665249740937912,0.0003565732083193,0.000350297082113071,0.000418204384142973,26.01,0.00296917808219178
"27.01",0.00232426424139713,0.00227035610462276,0.0022418581922687,0.00236994178689367,0.00245869866023958,0.00315311302601233,0.87962514150701,0.000324102012999905,0.00172857701471112,0.00178562428157771,0.0149650014842429,0.0890111807965214,0.000692761264643882,0.000358314959168271,0.000351612417730718,0.000424957389607106,27.01,0.00308333333333333
